Size,Process,Threads
2^6,0.000007,0.000242
2^7,0.000022,0.000501
2^8,0.000039,0.000319
2^9,0.000075,0.000582
2^10,0.000431,0.000716
2^11,0.000456,0.000687
2^12,0.001031,0.001359
2^13,0.005309,0.003021
2^14,0.008265,0.005442
2^15,0.032269,0.014576
2^16,0.104114,0.044341
2^17,0.360771,0.162320
2^18,1.463954,0.474772
2^19,4.152599,1.581762
2^20,17.246248,8.066184
